model_project_name,pathway_name,process_step,process_reference_output,effective_process_scale_per_t_pp,exchange_or_parameter,role,process_value,process_unit,allocation_factor,contribution_to_pathway,contribution_unit,model_component,model_aggregated_value,calculation_note
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Pyrolysis-oil upgrading,"Pyrolyseöl, roh (1.0 kg)",1.080937167199148,CAPEX,External input / cost parameter,456,EUR,1,492.90734824281145,EUR/t annual PP capacity,CAPEX,4011.55,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Pyrolysis-oil upgrading,"Pyrolyseöl, roh (1.0 kg)",1.080937167199148,OPEX,External input / cost parameter,11.4,EUR,1,12.322683706070286,EUR/t PP,Additional OPEX,177.85,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Plastic-waste pyrolysis,"Packaging waste, plastic (1.0 kg)",1.8015619453319132,"Packaging waste, plastic",External input / cost parameter,1,kg,1,1.8015619453319132,t/t PP,PCW,1.801,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Plastic-waste pyrolysis,"Packaging waste, plastic (1.0 kg)",1.8015619453319132,Carbon dioxide,Direct process emission,0.44,kg,1,0.7926872559460418,t CO2/t PP,CO2,2.908,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Plastic-waste pyrolysis,"Packaging waste, plastic (1.0 kg)",1.8015619453319132,Strom,External input / cost parameter,0.233,kWh,1,0.4197639332623358,MWh/t PP,Electricity,1.11095,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Plastic-waste pyrolysis,"Packaging waste, plastic (1.0 kg)",1.8015619453319132,CAPEX,External input / cost parameter,100,EUR,1,180.15619453319133,EUR/t annual PP capacity,CAPEX,4011.55,Contribution = process value × effective process scale × allocation factor
Pyrolyse,PCW via pyrolysis and conventional steam cracking,Plastic-waste pyrolysis,"Packaging waste, plastic (1.0 kg)",1.8015619453319132,OPEX,External input / cost parameter,2,EUR,1,3.6031238906638263,EUR/t PP,Additional OPEX,177.85,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,1.19482,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,4011.55,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,6.92182,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,177.85,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Electric steam cracking of upgraded pyrolysis oil,Propylene (0.1568 kg),6.473214285714286,Naphtha,Intermediate input,1,kg,0.1568,1.015,t/t PP,,,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Electric steam cracking of upgraded pyrolysis oil,Propylene (0.1568 kg),6.473214285714286,Strom,External input / cost parameter,3.6936,kWh,0.257894737,6.1661250037751785,MWh/t PP,Electricity,6.92182,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Electric steam cracking of upgraded pyrolysis oil,Propylene (0.1568 kg),6.473214285714286,CAPEX,External input / cost parameter,1710,EUR,0.28353328033533276,3138.485574069007,EUR/t annual PP capacity,CAPEX,4011.55,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Electric steam cracking of upgraded pyrolysis oil,Propylene (0.1568 kg),6.473214285714286,OPEX,External input / cost parameter,85.5,EUR,0.28353328033533276,156.92427870345037,EUR/t PP,Additional OPEX,177.85,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Pyrolysis-oil upgrading,"Pyrolyseöl, roh (1.0 kg)",1.080937167199148,Hydrogen,External input / cost parameter,0.01,kg,1,10.80937167199148,kg/t PP,Hydrogen,10.809,Contribution = process value × effective process scale × allocation factor × 1000 unit conversion
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Pyrolysis-oil upgrading,"Pyrolyseöl, roh (1.0 kg)",1.080937167199148,Carbon dioxide,Direct process emission,0.187,kg,1,0.20213525026624066,t CO2/t PP,CO2,1.19482,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Pyrolysis-oil upgrading,"Pyrolyseöl, roh (1.0 kg)",1.080937167199148,Strom,External input / cost parameter,0.098,kWh,1,0.10593184238551649,MWh/t PP,Electricity,6.92182,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Pyrolysis-oil upgrading,"Pyrolyseöl, roh (1.0 kg)",1.080937167199148,CAPEX,External input / cost parameter,456,EUR,1,492.90734824281145,EUR/t annual PP capacity,CAPEX,4011.55,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Pyrolysis-oil upgrading,"Pyrolyseöl, roh (1.0 kg)",1.080937167199148,OPEX,External input / cost parameter,11.4,EUR,1,12.322683706070286,EUR/t PP,Additional OPEX,177.85,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Plastic-waste pyrolysis,"Packaging waste, plastic (1.0 kg)",1.8015619453319132,"Packaging waste, plastic",External input / cost parameter,1,kg,1,1.8015619453319132,t/t PP,PCW,1.80,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Plastic-waste pyrolysis,"Packaging waste, plastic (1.0 kg)",1.8015619453319132,Carbon dioxide,Direct process emission,0.44,kg,1,0.7926872559460418,t CO2/t PP,CO2,1.19482,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Plastic-waste pyrolysis,"Packaging waste, plastic (1.0 kg)",1.8015619453319132,Strom,External input / cost parameter,0.233,kWh,1,0.4197639332623358,MWh/t PP,Electricity,6.92182,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Plastic-waste pyrolysis,"Packaging waste, plastic (1.0 kg)",1.8015619453319132,CAPEX,External input / cost parameter,100,EUR,1,180.15619453319133,EUR/t annual PP capacity,CAPEX,4011.55,Contribution = process value × effective process scale × allocation factor
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Plastic-waste pyrolysis,"Packaging waste, plastic (1.0 kg)",1.8015619453319132,OPEX,External input / cost parameter,2,EUR,1,3.6031238906638263,EUR/t PP,Additional OPEX,177.85,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,2.36,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,5530.23,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,0.97,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,208.74,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,Strom,External input / cost parameter,0.2128,kWh,0.2578947368421053,0.2842,MWh/t PP,Electricity,0.97,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,OPEX,External input / cost parameter,42.75,EUR,0.28353328033533276,62.769711481380135,EUR/t PP,Additional OPEX,208.74,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,CAPEX,External input / cost parameter,1710,EUR,0.28353328033533276,2510.788459255205,EUR/t annual PP capacity,CAPEX,5530.23,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,Naphtha,Intermediate input,1,kg,0.196,1.015,t/t PP,,,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,Carbon dioxide,Direct process emission,1.026,kg,0.2578947368421053,1.37025,t CO2/t PP,CO2,2.36,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,"Energy, from gas, natural",External input / cost parameter,3.4808,kWh,0.2578947368421053,4.6487,MWh/t PP,Natural Gas,4.65,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,"Packaging waste, plastic",External input / cost parameter,1,kg,1,1.1277777777777775,t/t PP,PCW,1.13,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,Hydrogen,External input / cost parameter,0.03,kg,1,33.83333333333333,kg/t PP,Hydrogen,33.83,Contribution = process value × effective process scale × allocation factor × 1000 unit conversion
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,CAPEX,External input / cost parameter,2500,EUR,1,2819.444444444444,EUR/t annual PP capacity,CAPEX,5530.23,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,Carbon dioxide,Direct process emission,0.702,kg,1,0.7916999999999997,t CO2/t PP,CO2,2.36,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,Strom,External input / cost parameter,0.4,kWh,1,0.451111111111111,MWh/t PP,Electricity,0.97,Contribution = process value × effective process scale × allocation factor
Hydrocracking,PCW via hydrocracking and conventional steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,OPEX,External input / cost parameter,125,EUR,1,140.9722222222222,EUR/t PP,Additional OPEX,208.74,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,0.99,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,5530.23,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,5.61,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,208.74,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,Strom,External input / cost parameter,3.6936,kWh,0.2578947368421053,4.932899999999999,MWh/t PP,Electricity,5.61,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,CAPEX,External input / cost parameter,1710,EUR,0.2835332803353328,2510.788459255206,EUR/t annual PP capacity,CAPEX,5530.23,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,Naphtha,Intermediate input,1,kg,0.196,1.015,t/t PP,,,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,OPEX,External input / cost parameter,42.75,EUR,0.2835332803353328,62.76971148138015,EUR/t PP,Additional OPEX,208.74,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,"Packaging waste, plastic",External input / cost parameter,1,kg,1,1.1277777777777775,t/t PP,PCW,1.13,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,Hydrogen,External input / cost parameter,0.03,kg,1,33.83333333333333,kg/t PP,Hydrogen,33.83,Contribution = process value × effective process scale × allocation factor × 1000 unit conversion
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,CAPEX,External input / cost parameter,2500,EUR,1,2819.444444444444,EUR/t annual PP capacity,CAPEX,5530.23,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,Carbon dioxide,Direct process emission,0.702,kg,1,0.7916999999999997,t CO2/t PP,CO2,0.99,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,Strom,External input / cost parameter,0.4,kWh,1,0.451111111111111,MWh/t PP,Electricity,5.61,Contribution = process value × effective process scale × allocation factor
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Plastic-waste hydrocracking,"Packaging waste, plastic (1.0 kg)",1.1277777777777775,OPEX,External input / cost parameter,125,EUR,1,140.9722222222222,EUR/t PP,Additional OPEX,208.74,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,3.58,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,6927.33,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,0.68,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,417.53,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,Strom,External input / cost parameter,0.2128,kWh,0.2578947368421053,0.2842,MWh/t PP,Electricity,0.68,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,OPEX,External input / cost parameter,42.75,EUR,0.28353328033533276,62.769711481380135,EUR/t PP,Additional OPEX,417.53,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,CAPEX,External input / cost parameter,1710,EUR,0.28353328033533276,2510.788459255205,EUR/t annual PP capacity,CAPEX,6927.33,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,Naphtha,Intermediate input,1,kg,0.196,1.015,t/t PP,,,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,Carbon dioxide,Direct process emission,1.026,kg,0.2578947368421053,1.37025,t CO2/t PP,CO2,3.58,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Conventional steam cracker,Propylene (0.196 kg),5.178571428571428,"Energy, from gas, natural",External input / cost parameter,3.4808,kWh,0.2578947368421053,4.6487,MWh/t PP,Natural Gas,4.65,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Plastic-waste gasification and Fischer-Tropsch synthesis,"Packaging waste, plastic (1.0 kg)",1.6832504145936982,"Packaging waste, plastic",External input / cost parameter,1,kg,1,1.6832504145936982,t/t PP,PCW,1.68,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Plastic-waste gasification and Fischer-Tropsch synthesis,"Packaging waste, plastic (1.0 kg)",1.6832504145936982,CAPEX,External input / cost parameter,2505,EUR,1,4216.542288557214,EUR/t annual PP capacity,CAPEX,6927.33,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Plastic-waste gasification and Fischer-Tropsch synthesis,"Packaging waste, plastic (1.0 kg)",1.6832504145936982,Strom,External input / cost parameter,0.1,kWh,1,0.16832504145936983,MWh/t PP,Electricity,0.68,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Plastic-waste gasification and Fischer-Tropsch synthesis,"Packaging waste, plastic (1.0 kg)",1.6832504145936982,Carbon dioxide,Direct process emission,1.19394,kg,1,2.0097,t CO2/t PP,CO2,3.58,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT,PCW via gasification-FT and conventional steam cracking,Plastic-waste gasification and Fischer-Tropsch synthesis,"Packaging waste, plastic (1.0 kg)",1.6832504145936982,OPEX,External input / cost parameter,207.79,EUR,1,349.76260364842454,EUR/t PP,Additional OPEX,417.53,Contribution = process value × effective process scale × allocation factor
